Uniprot_ID,HEK293,MCF10A,U2OS,HepG2 C3A
P54577,1,1,1,1
P54886,1,1,1,1
P55010,1,0,0,0
P55036,0,1,0,0
P55072,1,1,1,0
P55081,1,1,1,0
P55084,0,1,1,1
P55145,0,0,1,0
P55209,1,1,1,0
P55265,1,1,1,0
P55795,1,1,1,0
P55884,1,1,1,0
P56182,1,1,1,1
P56192,1,1,1,0
P56537,0,1,0,0
P57721,1,0,1,0
P58107,1,1,0,0
P60228,1,1,1,0
P60468,0,1,0,0
P60842,1,1,1,0
P60866,1,1,1,1
P61247,1,1,1,1
P61254,1,1,1,1
P61313,1,1,1,0
P61353,1,1,1,1
P61956,1,1,1,0
P61978,1,1,1,1
P61981,0,1,0,0
P62081,1,1,1,1
P62191,1,1,0,0
P62241,1,1,1,0
P62244,0,0,1,0
P62249,1,0,1,0
P62258,1,1,0,0
P62263,1,1,1,1
P62266,1,0,1,0
P62269,1,1,1,1
P62277,1,1,1,0
P62280,1,1,1,1
P62424,1,1,1,1
P62495,1,0,0,0
P62633,1,1,1,1
P62701,1,1,1,1
P62750,1,1,1,0
P62753,1,1,1,0
P62805,1,1,1,0
P62826,1,1,1,0
P62829,1,1,1,0
P62841,1,1,1,1
P62847,1,1,1,1
P62851,1,1,1,0
P62854,0,1,0,1
P62857,1,1,0,0
P62861,1,1,1,1
P62888,1,0,1,1
P62899,1,1,1,1
P62906,1,0,1,0
P62910,1,1,1,1
P62913,1,1,1,0
P62917,1,1,1,1
P62993,1,0,1,0
P62995,1,1,1,0
P63104,1,1,1,0
P63244,1,1,1,0
P67809,1,1,1,1
P68371,1,1,1,0
P78316,1,0,1,1
P78332,1,1,1,1
P78344,1,1,1,1
P78346,0,1,0,0
P78406,0,0,1,0
P78527,1,1,1,1
P82675,1,0,1,1
P82933,0,0,1,1
P82970,1,1,0,0
P83731,1,1,1,1
P84090,1,1,1,0
P84098,1,1,1,1
P84103,1,1,1,1
P98175,1,1,1,1
P98179,1,1,1,1
Q00341,1,1,1,1
Q00577,1,1,1,1
Q00610,1,1,1,0
Q00688,1,0,0,0
Q00839,1,1,1,1
Q01081,1,1,1,1
Q01085,1,1,1,1
Q01130,1,1,1,0
Q01780,1,1,1,1
Q01804,1,1,1,0
Q01844,1,1,1,0
Q02040,1,1,0,0
Q02543,1,1,1,1
Q02790,1,1,1,0
Q02878,1,1,1,1
Q03701,1,1,1,1
Q04637,1,1,1,1
Q05048,1,0,0,0
Q05519,1,1,1,1
Q06787,1,1,0,0
Q07020,1,1,1,1
Q07021,0,1,0,0
Q07065,1,1,1,1
Q07666,1,1,1,1
Q07955,1,1,1,1
Q08170,1,1,1,0
Q08211,1,1,1,1
Q08945,1,1,1,0
