Gene
 A5YKK6
 O00267
 O00303
 O00410
 O00411
 O00425
 O00541
 O00567
 O00571
 O14647
 O14979
 O15042
 O15226
 O15371
 O43143
 O43390
 O43670
 O43707
 O43719
 O43818
 O43823
 O60287
 O60506
 O60832
 O60841
 O60869
 O75131
 O75152
 O75153
 O75179
 O75369
 O75390
 O75400
 O75494
 O75533
 O75534
 O75616
 O75643
 O75683
 O75691
 O75821
 O75822
 O76021
 O76094
 O94906
 O95218
 O95232
 O95478
 O95758
 O95793
 P00505
 P02786
 P04792
 P04843
 P05455
 P05783
 P06733
 P06748
 P07237
 P07305
 P07737
 P07814
 P07900
 P07910
 P08195
 P08238
 P08240
 P08579
 P08621
 P08670
 P08708
 P08865
 P09001
 P09012
 P09382
 P09429
 P09543
 P09651
 P09874
 P0DMV9
 P10809
 P11142
 P11387
 P11388
 P11940
 P12268
 P12814
 P12956
 P13010
 P13639
 P13667
 P13693
 P14324
 P14618
 P14625
 P14866
 P14868
 P15170
 P15311
 P15531
 P15880
 P15924
 P16401
 P16989
 P17480
 P17844
 P17987
 P18077
 P18124
 P18583
 P18621
 P19338
 P20042
 P21127
 P21291
 P21333
 P22087
 P22314
 P22626
 P23246
 P23284
 P23396
 P23588
 P25398
 P25705
 P25786
 P26368
 P26373
 P26583
 P26599
 P26639
 P26641
 P27635
 P27797
 P27816
 P27824
 P28799
 P30050
 P30086
 P30101
 P30876
 P31483
 P31942
 P31943
 P33240
 P35221
 P35268
 P35579
 P35580
 P35637
 P35659
 P36542
 P36578
 P36776
 P37108
 P38159
 P38646
 P38919
 P39019
 P39023
 P39687
 P40227
 P40429
 P40926
 P41252
 P42696
 P42704
 P42766
 P43243
 P43897
 P46013
 P46087
 P46776
 P46777
 P46778
 P46779
 P46781
 P46782
 P48643
 P49207
 P49327
 P49368
 P49411
 P49588
 P49591
 P49756
 P49792
 P50395
 P50454
 P50914
 P50991
 P51114
 P51991
 P52272
 P52292
 P52597
 P52756
 P53597
 P53999
 P54136
 P54577
 P54886
 P55072
 P55084
 P55209
 P55263
 P55795
 P55884
 P56182
 P56192
 P56537
 P57723
 P58107
 P60228
 P60842
 P60866
 P60900
 P61247
 P61254
 P61313
 P61353
 P61513
 P61604
 P61956
 P61978
 P62081
 P62241
 P62244
 P62249
 P62258
 P62263
 P62269
 P62277
 P62280
 P62318
 P62424
 P62633
 P62701
 P62750
 P62753
 P62805
 P62826
 P62829
 P62841
 P62847
 P62851
 P62854
 P62857
 P62888
 P62899
 P62906
 P62910
 P62913
 P62917
 P62995
 P63104
 P63220
 P63241
 P63244
 P67809
 P68363
 P68371
 P78316
 P78332
 P78344
 P78527
 P82675
 P82933
 P83731
 P84098
 P84103
 P98175
 P98179
 Q00341
 Q00577
 Q00610
 Q00839
 Q01081
 Q01082
 Q01085
 Q01130
 Q01780
 Q01844
 Q02252
 Q02543
 Q02790
 Q02878
 Q03701
 Q04637
 Q04837
 Q05519
 Q07020
 Q07065
 Q07666
 Q07954
 Q07955
 Q08170
 Q08211
 Q08257
 Q08945
 Q08J23
 Q09666
 Q10589
 Q12849
 Q12874
 Q12904
 Q12905
 Q12906
 Q12931
 Q13148
 Q13151
 Q13242
 Q13243
 Q13247
 Q13263
 Q13283
 Q13310
 Q13347
 Q13427
 Q13428
 Q13523
 Q13595
 Q13823
 Q13895
 Q14103
 Q14151
 Q14152
 Q14157
 Q14204
 Q14258
 Q14444
 Q14498
 Q14562
 Q14671
 Q14690
 Q14692
 Q14694
 Q14697
 Q14739
 Q14974
 Q14978
 Q15020
 Q15029
 Q15032
 Q15050
 Q15056
 Q15061
 Q15149
 Q15233
 Q15269
 Q15287
 Q15365
 Q15366
 Q15397
 Q15424
 Q15428
 Q15459
 Q15631
 Q15717
 Q16629
 Q16658
 Q16762
 Q1KMD3
 Q2M296
 Q4G0J3
 Q5BKY9
 Q5BKZ1
 Q5C9Z4
 Q5JPH6
 Q5JTH9
 Q5JVS0
 Q5T653
 Q5T6F2
 Q5VTL8
 Q66PJ3
 Q6DKI1
 Q6NYC1
 Q6P2Q9
 Q6PKG0
 Q6ZN17
 Q71RC2
 Q7KZF4
 Q7L014
 Q7L0Y3
 Q7L1Q6
 Q7L2E3
 Q7L2J0
 Q7L4I2
 Q7L576
 Q7L8L6
 Q7Z2W4
 Q7Z417
 Q7Z6E9
 Q7Z6M4
 Q86TG7
