Uniprot_ID
Q9NZI8
Q9BQC6
Q6ZN17
O00425
Q9NQ94
P43243
Q9NY12
Q7Z4V0
Q07002
A8MWD9; P62308
Q9Y3X0
Q9P0M9
Q86TG7
Q9HC35
P57723
P15529
P02786
P17301
Q9H6T0
Q01082
Q2M296
Q96DV4
O00299
B5ME19; Q99613
P29317
Q5VZF2; Q9NR56
Q9BYD2
Q969X6
P05023
Q14554
P52756
P14678; P63162
Q12874
O15230
P62318
Q92542
Q9NVS2
O15031
Q969G9
P61619
P07942
P11047
P01024
Q15084
P78509
Q14517
Q04837
Q9H9J2
P27144
Q02809
Q96EL2
P04439
P52209
Q13501
P14543
Q92896
P98160
Q8NBS9
Q5JVS0
Q9Y697
Q8TEM1
P02751
Q96ST2
P04114
P29279
Q7Z4V5
P14209
P02679
P11310
P10646
Q9H0U6
Q9Y606
P16615
P46977
P00367
P14625
Q8NBQ5
Q13443
O95857
O14578
P40939
P11717
Q9Y295
P38117
Q13772
P53634
P05783
Q92688
Q9Y6C2
Q9C004
Q9BY49
P62873; P62879
Q9UHN6
P49406
Q6PD62
Q8TF01
P19623
Q13268
P32322
Q9BYC9
P39060
Q9NVI7
Q6P996
Q86XX4
P07602
Q8TD30
A6NCS6
Q9Y287
Q02241
O94925
Q13214
P30837
P01023
O43493
Q9H8H0
P19440
Q9Y3A5
P47897
P05156
Q9H6R3
P02675
Q9NUK0
P13804
Q9Y3D3
Q9UG63
Q13308
P05556
Q9HCU5
Q7L1Q6
Q13576
P53597
P11177
Q86UP2
Q06210
P12259
Q6P2E9
P08581
P30041
P26440
O15027
P11498
P11117
Q7L8L6
Q96RP9
O14646
Q9Y3B4
Q6YN16
O75683
O00461
P00390
Q9BSH4
Q8IV08
Q8IZA0
Q9ULV4
P43897
Q9HD20
Q9NQZ7
P13473
O00468
Q9BXS4
P38435
Q9NUM4
P23142
P06493
P80404
