Gene
O00267
O00303
O00410
O00541
O14647
O15042
O43670
O43707
O43719
O43818
O60841
O75131
O75369
O75390
O75494
O75643
O94906
O95218
P00505
P04792
P04843
P06733
P07305
P07737
P07900
P08195
P08238
P08240
P08579
P08670
P08708
P08865
P09001
P09012
P09382
P09429
P09543
P0DMV9
P10809
P11142
P11388
P12268
P12814
P13693
P14324
P14618
P14868
P15311
P15531
P15924
P16401
P17987
P18077
P18583
P21127
P21291
P21333
P22314
P23284
P25398
P25705
P25786
P26583
P26639
P26641
P27797
P27824
P28799
P30050
P35221
P35579
P35580
P35659
P36542
P37108
P38919
P39687
P40227
P40926
P41252
P43897
P46778
P46779
P48643
P49327
P49368
P49756
P49792
P50395
P50454
P50991
P51114
P52292
P53999
P54136
P55072
P55209
P55263
P55795
P55884
P56192
P56537
P58107
P60228
P60842
P60900
P61313
P61513
P61604
P61956
P62241
P62244
P62249
P62258
P62277
P62750
P62753
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62805
P62826
P62829
P62851
P62857
P62906
P62913
P62995
P63104
P63220
P63241
P63244
P68363
P68371
Q00610
Q01130
Q01844
Q02252
Q02790
Q07954
Q08170
Q08257
Q08945
Q09666
Q10589
Q12904
Q13243
Q13247
Q13263
Q13347
Q13428
Q13595
Q14697
Q14974
Q14978
Q15029
Q15061
Q15149
Q15287
Q15424
Q15428
Q15631
Q16658
Q16762
Q5BKY9
Q5C9Z4
Q5JPH6
Q5VTL8
Q66PJ3
Q6NYC1
Q7L4I2
Q7L576
Q7Z6E9
Q7Z6M4
Q86VM9
Q8IX12
Q8IYB3
Q8N5F7
Q8N983
Q8NI27
Q8WXA9
Q92541
Q92552
Q96MU7
Q96P11
Q96PU8
Q99497
Q99714
Q99733
Q9BQ39
Q9BU76
Q9BUQ8
Q9BXJ9
Q9BXP5
Q9BYD2
Q9BYJ9
Q9C0J8
Q9H1E3
Q9H501
Q9H583
Q9H8H2
Q9NP64
Q9NP81
Q9NX58
Q9NXV6
Q9NYF8
Q9P2E9
Q9UKD2
Q9UKJ3
Q9UKV3
Q9Y224
Q9Y262
Q9Y2W1
Q9Y383
Q9Y388
Q9Y3F4
Q9Y3I0
Q9Y3U8
Q9Y5B9
