Gene
O00303
O00425
O43818
O75683
P02786
P04843
P05783
P07305
P08195
P08238
P08240
P08579
P08670
P09543
P0DMV9
P14625
P16401
P18077
P23284
P25705
P25786
P27797
P28799
P36542
P37108
P40926
P43243
P43897
P50454
P52756
P53597
P55263
P57723
P60900
P61513
P61604
P62318
P63220
P63241
P68363
Q01082
Q02252
Q04837
Q07954
Q08257
Q10589
Q12874
Q14697
Q15428
Q16762
Q2M296
Q5BKY9
Q5JPH6
Q5JVS0
Q6ZN17
Q7L1Q6
Q7L8L6
Q7Z6M4
Q86TG7
Q86UP2
Q8TF01
Q92552
Q969X6
Q96EL2
Q96RP9
Q9BYC9
Q9BYD2
Q9H0U6
Q9H6T0
Q9H8H0
Q9H8H2
Q9H9J2
Q9NP64
Q9NP81
Q9NQ94
Q9NUK0
Q9NVS2
Q9NY12
Q9NZI8
Q9P0M9
Q9UKD2
Q9Y224
Q9Y3A5
Q9Y3B4
Q9Y3U8
Q9Y3X0
Q9Y606
